chart_week,rank,song_id,artist_id,is_new,weeks,peak_pos,title,artist
2000-01-21,76,6OQrmEIK8KOOVcSoSaEo40,1HwM5zlC5qNWhJtM00yXzG,False,2,76,What's My Name,DMX
2000-01-21,77,4oPNN7syJYSjzDhRerF966,336vr2M3Va0FjyvB55lJEd,True,1,77,Untitled (How Does It Feel),D'Angelo
2000-01-21,78,3iR9PLIjOlmi212gyGLPYe,7mPcfx7PhnBh6n4HMCd61A,False,17,45,Home To You,John Michael Montgomery
2000-01-21,79,43z6scIZU2QcEieMQFAJRG,0lJlKQvuM2Sd9DPPyUXcHg,False,20,32,There She Goes,Sixpence None the Richer
2000-01-21,80,47tVV7s6UzdcyTJBoIW7aX,37W8SKV5Vc8lcGtdyWCA5m,True,1,80,Smoke Rings In The Dark,Gary Allan
2000-01-21,81,6wCbHb0QEEdka3ymfImn4l,55Aa2cqylxrFIXC767Z865,False,8,72,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.
2000-01-21,82,5q186AzhWeOEoFnApajHgR,36HvjE9pV91jEjO1qBRidS,False,19,36,Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne"
2000-01-21,83,5FdmujV6PtMOHa23FoH67Z,7r8RF1tN2A4CiGEplkp1oP,False,3,83,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case"
2000-01-21,84,3QV7NYkrmV0Q0IHdFJw9hO,3grHWM9bx2E9vwJCdlRv9O,False,10,74,She Thinks My Tractor's Sexy,Kenny Chesney
2000-01-21,85,2zS8FkQaSNHAIpqePh95JB,78SHxLdtysAXgywQ4vE0Oa,False,17,67,The Chemicals Between Us,Bush
2000-01-21,86,5SEBSAio1N77Vbrj1cAEGb,165ZgPlLkK7bf5bDoFc6Sb,False,8,73,N 2 Gether Now,Limp Bizkit Featuring Method Man
2000-01-21,87,1DSJNBNhGZCigg9ll5VeZv,26dSoYclwsYLMAKD3tpOr4,False,19,10,(You Drive Me) Crazy,Britney Spears
2000-01-21,88,3iZizHVmWHdaJbvcU65S6x,1Y8cdNmUJH7yBTd9yOvr5i,False,18,33,Bug A Boo,Destiny's Child
2000-01-21,89,,,False,3,77,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2000-01-21,90,4u6U5nwYHok67BBymI9ldh,3THMgU4KdL7LlO5TEREs2g,False,4,90,The Quittin' Kind,Joe Diffie
2000-01-21,91,19FsxX4RthRMZGfXkImdCb,5me0Irg2ANcsgc93uaYrpb,False,7,82,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim
2000-01-21,92,65i1UPsUtPlEVzewEZR6sY,0ZzYDST6Dib7iYd8hmcLcH,False,10,21,Don't Say You Love Me,M2M
2000-01-21,93,1wsRitfRRtWyEapl0q22o8,2d0hyoQ5ynDBnkvAbJKORj,False,13,69,Guerrilla Radio,Rage Against the Machine
2000-01-21,94,6sbXGUn9V9ZaLwLdOfpKRE,5rSXSAkZ67PYJSvpUpkOr7,False,19,25,Larger Than Life,Backstreet Boys
2000-01-21,95,7mCQK9YB25WZw1saUjfL4e,4Y7tXHSEejGu1vQ9bwDdXW,False,27,76,The Rockafeller Skank,Fatboy Slim
2000-01-21,96,6IPJ7LeWIOhxPW8Sq3nIGc,165ZgPlLkK7bf5bDoFc6Sb,False,8,90,Re-arranged,Limp Bizkit
2000-01-21,97,03qVg9HRUJystE3EtupDei,601893mmW5hl1FBOykWZHG,False,20,8,We Can't Be Friends,Deborah Cox With R.L.
2000-01-21,98,0M3ZIWNcizkhYFvn6RuCEz,5IFCkqu9J6xdWeYMk5I889,False,20,2,Music Of My Heart,*NSYNC & Gloria Estefan
2000-01-21,99,5YlH7CeaNAoRKsaSzTXojM,26T4yOaOoFJvUvxR87Y9HO,False,9,90,L.A. Song,Beth Hart
2000-01-21,100,59xpdlaIK1l5hiYP1KsBxK,41qil2VaGbD194gaEcmmyx,False,13,25,Will 2K,Will Smith Featuring K-Ci
