song_id,title,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
3iR9PLIjOlmi212gyGLPYe,Home To You,209066.0,33.0,0.582,0.646,0.366,0.000228,5.0,0.128,-11.183,1.0,0.0233,90.338,0.272
43z6scIZU2QcEieMQFAJRG,There She Goes,164280.0,64.0,0.000856,0.498,0.789,5.83e-06,10.0,0.104,-5.724,1.0,0.0319,120.176,0.455
47tVV7s6UzdcyTJBoIW7aX,Smoke Rings In The Dark,257646.0,52.0,0.277,0.534,0.596,0.000359,2.0,0.148,-7.148,1.0,0.0279,114.957,0.147
6wCbHb0QEEdka3ymfImn4l,Tha Block Is Hot,252733.0,46.0,0.196,0.708,0.941,0.00283,7.0,0.0402,-5.132,1.0,0.119,174.041,0.934
5q186AzhWeOEoFnApajHgR,Bling Bling,312960.0,46.0,0.0467,0.868,0.964,1.51e-05,2.0,0.0708,-3.72,1.0,0.111,98.913,0.868
5FdmujV6PtMOHa23FoH67Z,The Best Man I Can Be,389880.0,37.0,0.537,0.662,0.536,0.0,0.0,0.0942,-7.679,1.0,0.0689,111.845,0.302
3QV7NYkrmV0Q0IHdFJw9hO,She Thinks My Tractor's Sexy,248066.0,61.0,0.0664,0.689,0.886,0.0,10.0,0.278,-7.066,0.0,0.0382,122.07,0.906
2zS8FkQaSNHAIpqePh95JB,The Chemicals Between Us,217493.0,55.0,0.00268,0.51,0.957,0.0697,7.0,0.267,-3.968,1.0,0.149,97.642,0.389
5SEBSAio1N77Vbrj1cAEGb,N 2 Gether Now,289866.0,61.0,0.114,0.752,0.753,0.0,6.0,0.317,-7.721,0.0,0.357,102.55,0.604
1DSJNBNhGZCigg9ll5VeZv,(You Drive Me) Crazy,198066.0,64.0,0.0534,0.748,0.939,0.0,0.0,0.32,-4.288,0.0,0.0341,104.001,0.96
3iZizHVmWHdaJbvcU65S6x,Bug A Boo,212440.0,49.0,0.00413,0.76,0.718,7.63e-06,6.0,0.18,-3.087,1.0,0.147,104.42,0.927
4u6U5nwYHok67BBymI9ldh,The Quittin' Kind,207466.0,10.0,0.03,0.595,0.904,4.43e-05,7.0,0.397,-4.803,1.0,0.0355,102.002,0.6
19FsxX4RthRMZGfXkImdCb,Notorious B.I.G.,366880.0,64.0,0.121,0.704,0.873,5.12e-06,11.0,0.24,-4.057,0.0,0.144,154.914,0.742
65i1UPsUtPlEVzewEZR6sY,Don't Say You Love Me,225200.0,53.0,0.0141,0.627,0.723,3.66e-05,1.0,0.118,-6.241,0.0,0.0341,97.555,0.596
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,206200.0,68.0,0.0129,0.599,0.957,7.06e-05,11.0,0.155,-5.764,1.0,0.188,103.68,0.489
6sbXGUn9V9ZaLwLdOfpKRE,Larger Than Life,232826.0,66.0,0.11,0.661,0.973,1.74e-05,0.0,0.617,-2.994,0.0,0.037,108.037,0.75
7mCQK9YB25WZw1saUjfL4e,The Rockafeller Skank,,,,,,,,,,,,,
6IPJ7LeWIOhxPW8Sq3nIGc,Re-arranged,354733.0,61.0,0.0995,0.519,0.771,0.0529,11.0,0.0612,-7.175,1.0,0.0734,104.498,0.413
03qVg9HRUJystE3EtupDei,We Can't Be Friends,,,,,,,,,,,,,
0M3ZIWNcizkhYFvn6RuCEz,Music Of My Heart,271160.0,37.0,0.4,0.375,0.556,0.0,11.0,0.0956,-7.196,1.0,0.041,111.827,0.397
5YlH7CeaNAoRKsaSzTXojM,L.A. Song,630228.0,49.0,0.0126,0.384,0.554,0.00703,6.0,0.0795,-8.568,0.0,0.0326,135.095,0.135
59xpdlaIK1l5hiYP1KsBxK,Will 2K,233906.0,40.0,0.0692,0.827,0.783,0.0,9.0,0.628,-3.918,0.0,0.0869,117.933,0.832
