name,artist_id,url,mbid,tag
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W,6be2828f-6c0d-4059-99d4-fa18acf1a296,pop
Nelly,2gBjLmx6zQnFGQJCAQpRgw,https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw,811900b2-68fc-4d41-8bad-69b7a1f4d628,hip hop
Nick Lachey,6ewMqjrF31lC8ywRsvm073,https://open.spotify.com/artist/6ewMqjrF31lC8ywRsvm073,51eb1070-465f-4ec5-bbd9-2c3f4d82424f,pop
Five For Fighting,7FgMLbnZVrEnir95O0YujA,https://open.spotify.com/artist/7FgMLbnZVrEnir95O0YujA,23eeaeaf-423d-4859-8c91-2175ece74287,
Blue October,1TJbmc7jTpw78GKCiMpvDh,https://open.spotify.com/artist/1TJbmc7jTpw78GKCiMpvDh,d6a3eeec-cde0-4c10-89b2-93e0bd5f34e6,alternative rock
Hinder,6BMhCQJYHxxKAeqYS1p5rY,https://open.spotify.com/artist/6BMhCQJYHxxKAeqYS1p5rY,39b22a9e-59dd-412b-ac3c-0725c807c72b,alternative
Fort Minor,7dWYWUbO68rXJOcyA7SpJk,https://open.spotify.com/artist/7dWYWUbO68rXJOcyA7SpJk,e1564e98-978b-4947-8698-f6fd6f8b0181,hip hop
Holly Brook,62gL3RAdJAPUmjrYudnVjy,https://open.spotify.com/artist/62gL3RAdJAPUmjrYudnVjy,bd01c9d7-89dd-4cb4-9baa-a43bfa292bed,pop
Jonah Matranga,3Ztgr9y1L9ZfoIOEsCrZEb,https://open.spotify.com/artist/3Ztgr9y1L9ZfoIOEsCrZEb,5245e5cd-4408-4d9e-a037-c71a53edce83,rock
Lyfe Jennings,33C3ByGk9NCrjTIXr6npqf,https://open.spotify.com/artist/33C3ByGk9NCrjTIXr6npqf,7a638e6c-50f4-48fd-ad04-f245ff20b0d5,soul
